type,subtype,updated_type,updated_subtype,updated_subsubtype,binned_latitude,binned_longitude,alert_count
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.96,-87.75,9907
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.88,-87.65,5002
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.84,-87.63,4974
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.89,-87.65,4964
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.69,-87.6,4964
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.71,-87.64,4947
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.97,-87.75,4932
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.88,-87.65,4666
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.9,-87.66,4323
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.89,-87.65,4278
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.88,-87.65,4214
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.89,-87.65,4194
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.9,-87.66,3563
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.84,-87.63,3385
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.82,-87.63,3208
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.96,-87.74,2945
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.89,-87.65,2875
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.88,-87.65,2822
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.8,-87.63,2816
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.97,-87.75,2783
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.97,-87.76,2752
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.79,-87.63,2751
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.94,-87.71,2731
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.83,-87.63,2700
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.81,-87.63,2640
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.93,-87.69,2514
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.97,-87.76,2503
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.66,-87.59,2495
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.64,2462
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.92,-87.67,2458
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.9,-87.66,2457
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.78,-87.63,2448
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.85,-87.63,2441
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.98,-87.78,2428
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.97,-87.75,2399
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.85,-87.64,2374
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.82,-87.73,2349
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.98,-87.75,2347
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.73,2346
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.95,-87.72,2344
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.91,-87.66,2314
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.96,-87.74,2287
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.72,-87.62,2219
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.98,-87.75,2194
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.71,-87.61,2185
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.73,-87.62,2168
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.96,-87.74,2158
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.75,2123
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.76,-87.63,2105
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.95,-87.73,2089
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.97,-87.75,2079
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.85,-87.64,2073
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.97,-87.77,2057
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.93,-87.69,2040
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.88,-87.67,2031
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.93,-87.7,2017
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.88,-87.66,2011
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.83,-87.71,2004
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.94,-87.71,1983
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.68,-87.6,1979
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.95,-87.73,1972
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.98,-87.79,1972
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.92,-87.68,1960
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.98,-87.78,1913
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.88,-87.68,1910
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.95,-87.72,1879
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.75,1859
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.94,-87.71,1836
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.72,1823
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.9,-87.62,1823
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.96,-87.75,1820
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.74,1808
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.82,-87.72,1795
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.84,-87.66,1779
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.78,1758
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.71,1727
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.77,-87.63,1719
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.94,-87.7,1718
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.65,-87.58,1708
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.92,-87.67,1708
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.82,-87.74,1706
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.87,-87.62,1699
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.85,-87.64,1698
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.67,-87.6,1686
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.97,-87.77,1676
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.77,1668
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.71,-87.6,1635
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.95,-87.72,1626
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.99,-87.66,1595
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.84,-87.63,1589
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.76,1585
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.88,-87.69,1581
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.93,-87.69,1566
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.87,-87.64,1558
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.91,-87.66,1550
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.69,-87.6,1537
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.7,-87.59,1526
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.83,-87.7,1524
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.92,-87.67,1500
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.96,-87.75,1494
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.88,-87.62,1485
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.64,1474
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.99,-87.66,1458
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.96,-87.75,1456
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.86,-87.64,1455
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.95,-87.73,1437
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.98,-87.81,1417
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.79,1408
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.65,1404
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.89,-87.64,1398
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.89,-87.61,1394
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.93,-87.7,1372
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.91,-87.66,1353
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.97,-87.76,1349
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.9,-87.62,1347
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.85,-87.65,1347
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.98,-87.77,1345
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.91,-87.67,1335
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.83,-87.63,1331
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.84,-87.68,1316
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.84,-87.67,1311
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.85,-87.62,1288
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.92,-87.68,1285
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.83,1266
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.65,1262
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.88,-87.7,1257
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.74,-87.63,1254
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.82,-87.74,1251
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.8,1247
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.92,-87.68,1246
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.98,-87.79,1216
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.94,-87.72,1212
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.93,-87.7,1212
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.85,-87.61,1207
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.99,-87.75,1199
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.87,-87.76,1198
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.81,-87.63,1195
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.62,1174
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.81,1159
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.89,-87.66,1155
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.98,-87.66,1141
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.75,-87.63,1134
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.93,-87.68,1132
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.85,-87.65,1123
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.86,-87.64,1120
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.71,-87.59,1109
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.85,-87.63,1107
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.98,-87.77,1098
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.98,-87.82,1091
JAM,Unclassified,Jam,Unclassified,Unclassified,41.89,-87.65,1086
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.84,-87.66,1086
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.98,-87.8,1084
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.88,-87.67,1067
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.9,-87.62,1066
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.94,-87.7,1065
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.87,-87.77,1064
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.86,-87.64,1056
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.88,-87.62,1053
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Hazard,On_road,Construction,41.88,-87.67,1036
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.88,-87.64,1035
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.82,-87.63,1027
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.83,-87.69,1022
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.77,1015
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.93,-87.68,988
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.76,987
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.88,-87.65,979
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.87,-87.65,978
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.88,-87.67,976
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.98,-87.66,974
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.94,-87.72,974
JAM,Unclassified,Jam,Unclassified,Unclassified,41.9,-87.66,973
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.9,-87.65,970
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.89,-87.61,968
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.74,-87.62,960
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.83,-87.7,952
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.89,-87.66,950
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.84,-87.67,945
JAM,Unclassified,Jam,Unclassified,Unclassified,41.88,-87.65,944
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.85,-87.63,932
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.91,-87.63,927
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.84,925
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.82,-87.75,923
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.84,-87.63,922
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.99,-87.75,919
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.84,-87.68,916
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.89,-87.62,909
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.71,-87.62,893
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.91,-87.67,891
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.82,-87.74,888
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.94,-87.7,887
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.87,-87.75,883
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.75,877
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.83,-87.63,876
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.99,-87.75,866
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.91,-87.67,866
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.92,-87.66,863
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.93,-87.63,860
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.96,-87.73,857
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.72,-87.62,852
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.77,-87.63,851
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.97,-87.77,846
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.89,-87.64,831
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.74,828
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.98,-87.81,827
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.88,-87.64,817
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.89,-87.61,816
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.91,-87.65,809
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.89,-87.63,808
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.79,-87.63,797
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.92,-87.63,794
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.93,-87.67,792
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.91,-87.63,785
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.7,-87.6,783
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.78,-87.63,775
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.87,-87.78,775
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.73,-87.62,775
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.85,-87.65,771
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.77,763
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.8,-87.63,750
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.87,-87.74,744
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.72,743
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.93,-87.67,743
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.82,-87.6,743
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.86,-87.62,732
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.81,-87.63,732
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.92,-87.7,731
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.88,-87.62,731
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.82,-87.72,729
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.95,-87.71,729
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.88,725
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.98,-87.82,720
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.76,-87.63,708
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.82,-87.73,705
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.94,-87.64,704
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.86,-87.62,702
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.87,-87.73,689
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.88,-87.69,684
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.83,-87.61,674
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Hazard,On_road,Construction,41.99,-87.66,665
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.98,-87.82,663
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.83,-87.7,658
JAM,JAM_HEAVY_TRAFFIC,Jam,Heavy_traffic,Unclassified,41.69,-87.6,658
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.87,-87.72,657
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.94,-87.72,653
